,GSEC,NIFTY50,AUTO,BANK,FINSERV,FMCG,IT,OILGAS,PHARMA,REITS,GOLD
GSEC,0.0010528658871491318,-8.581654921354576e-06,-0.0010571507592236416,-0.0012463463577012236,-0.0006972499600951513,0.000702090354863891,0.0011835552096595354,0.00023807738866438196,0.0014318176199682381,-0.00041003789799819645,0.0006910060022501106
NIFTY50,-8.581654921354576e-06,0.030390772577893688,0.03451570060210659,0.037677785713815554,0.03620738984296219,0.0169441723708121,0.025099552943628187,0.03511433602559912,0.019783216047392128,0.015011845827034163,0.00020308866180609954
AUTO,-0.0010571507592236416,0.03451570060210659,0.0624975754048772,0.04243952048124472,0.03878754841239409,0.019615570354850786,0.02357933242068233,0.043584991628231554,0.02433810067414475,0.021816871543857263,0.00016862065773255995
BANK,-0.0012463463577012236,0.037677785713815554,0.04243952048124472,0.06164598768624349,0.05552159874991507,0.016428705695497724,0.016800756558374444,0.04034262742658182,0.013269359412994213,0.01989898083500843,-0.0013489681754754097
FINSERV,-0.0006972499600951513,0.03620738984296219,0.03878754841239409,0.05552159874991507,0.052197517562570836,0.01713819014371942,0.01976371402637222,0.03759368972009355,0.015261793930357544,0.018137310750119484,-0.0001396009599561451
FMCG,0.000702090354863891,0.0169441723708121,0.019615570354850786,0.016428705695497724,0.01713819014371942,0.021649272573359905,0.014918166896964255,0.019501416596708638,0.012338519671833208,0.00523124698445624,-0.0020599406779465076
IT,0.0011835552096595354,0.025099552943628187,0.02357933242068233,0.016800756558374444,0.01976371402637222,0.014918166896964255,0.05208528422073092,0.024027419973934816,0.024574714703290212,0.010844296885737717,-0.001999373523298691
OILGAS,0.00023807738866438196,0.03511433602559912,0.043584991628231554,0.04034262742658182,0.03759368972009355,0.019501416596708638,0.024027419973934816,0.057932375949705836,0.028000633316457642,0.017203303154270825,0.0005977830139788731
PHARMA,0.0014318176199682381,0.019783216047392128,0.02433810067414475,0.013269359412994213,0.015261793930357544,0.012338519671833208,0.024574714703290212,0.028000633316457642,0.04039163222317966,0.010311443276476134,0.004521856574839036
REITS,-0.00041003789799819645,0.015011845827034163,0.021816871543857263,0.01989898083500843,0.018137310750119484,0.00523124698445624,0.010844296885737717,0.017203303154270825,0.010311443276476134,0.021710831138086313,0.004221760745223822
GOLD,0.0006910060022501106,0.00020308866180609954,0.00016862065773255995,-0.0013489681754754097,-0.0001396009599561451,-0.0020599406779465076,-0.001999373523298691,0.0005977830139788731,0.004521856574839036,0.004221760745223822,0.0182932556280189
